Temperature,Cp,S,H
100,33.310,152.271,3.289
200,33.354,175.370,6.622
298.15,33.609,188.724,9.908
300,33.618,188.930,9.967
400,34.146,198.715,13.374
500,35.071,206.425,16.831
600,36.289,212.924,20.398
700,37.606,218.617,24.092
800,38.942,223.726,27.920
900,40.261,228.389,31.880
1000,41.544,232.697,35.971
1100,42.782,236.716,40.187
1200,43.969,240.489,44.525
1300,45.105,244.054,48.980
1400,46.186,247.436,53.545
1500,47.215,250.658,58.215
1600,48.191,253.737,62.986
1700,49.117,256.686,67.852
1800,49.992,259.519,72.807
1900,50.819,262.244,77.848
2000,51.600,264.871,82.970
2100,52.336,267.406,88.167
2200,53.030,269.857,93.436
2300,53.682,272.229,98.772
2400,54.296,274.527,104.171
2500,54.873,276.755,109.629
2600,55.415,278.918,115.144
2700,55.924,281.019,120.711
2800,56.402,283.062,126.328
2900,56.851,285.049,131.991
3000,57.274,286.983,137.697
3100,57.671,288.868,143.445
3200,58.046,290.705,149.231
3300,58.399,292.496,155.053
3400,58.732,294.245,160.910
3500,59.049,295.952,166.799
3600,59.349,297.620,172.719
3700,59.635,299.250,178.688
3800,59.909,300.844,184.646
3900,60.172,302.403,190.650
4000,60.427,303.930,196.680
4100,60.673,305.425,202.735
4200,60.914,306.890,208.814
4300,61.150,308.326,214.917
4400,61.384,309.735,221.044
4500,61.617,311.117,297.194
4600,61.849,312.474,233.368
4700,62.084,313.806,239.564
4800,62.322,315.116,245.784
4900,62.566,316.403,252.029
5000,62.816,317.670,258.298
5100,63.074,318.916,264.592
5200,63.343,320.144,270.913
5300,63.623,321.353,277.261
5400,63.893,322.528,283.565
5500,64.143,323.682,289.868
5600,64.365,324.823,296.217
5700,64.549,325.964,302.663
5800,64.721,327.088,309.127
5900,64.882,328.196,315.607
6000,65.030,329.288,322.103
6200,65.290,331.424,335.136
6400,65.499,333.501,348.216
6600,65.658,335.519,361.332
6800,65.767,337.481,374.476
7000,65.826,339.388,387.636
7200,65.838,341.243,400.803
7400,65.804,343.046,413.968
7600,65.726,344.800,427.121
7800,65.608,346.506,440.255
8000,65.452,348.165,453.362
8200,65.263,349.779,466.434
8400,65.044,351.349,479.465
8600,64.799,352.877,492.450
8800,64.533,354.364,505.384
9000,64.249,355.810,518.262
9200,63.951,357.219,531.082
9400,63.644,358.592,543.842
9600,63.332,359.928,556.539
9800,63.017,361.231,569.174
10000,62.705,362.501,581.746
10500,61.954,365.542,612.909
11000,61.276,368.408,643.712
11500,60.701,371.119,674.202
12000,60.243,373.692,704.433
12500,59.903,376.144,734.465
13000,59.668,378.488,764.353
13500,59.517,380.737,794.147
14000,59.419,382.900,823.879
14500,59.338,384.984,853.568
15000,59.237,386.994,883.214
15500,59.074,388.933,912.795
16000,58.812,390.805,942.271
16500,58.410,392.609,971.584
17000,57.832,394.345,1000.652
17500,57.044,396.010,1029.381
18000,56.014,397.603,1057.656
18500,54.711,399.121,1085.350
19000,53.109,400.560,1112.318
19500,51.183,401.915,1138.405
20000,48.908,403.183,1163.443
