Temperature,Cp,S,H
100.0,31.628,149.978,2.744
200.0,30.515,171.579,5.853
298.15,29.886,183.628,8.813
300.0,29.879,183.813,8.868
400.0,29.604,192.365,11.841
500.0,29.495,198.957,14.795
600.0,29.513,204.334,17.744
700.0,29.655,208.893,20.701
800.0,29.914,212.868,23.679
900.0,30.265,216.411,26.687
1000.0,30.682,219.621,29.734
1100.0,31.135,222.566,32.825
1200.0,31.603,225.296,35.961 
1300.0,32.069,227.844,39.145
1400.0,32.522,230.237,42.375
1500.0,32.956,232.496,45.649
1600.0,33.367,234.636,48.965
1700.0,33.753,236.670,52.322
1800.0,34.114,238.610,55.715 
1900.0,34.451,240.464,59.144
2000.0,34.766,242.239,62.605
2100.0,35.059,243.942,66.096
2200.0,35.334,245.580,69.616
2300.0,35.591,247.156,73.162
2400.0,35.833,248.676,76.734
2500.0,36.060,250.143,80.328
2600.0,36.275,251.562,83.945
2700.0,36.479,252.935,87.583
2800.0,36.673,254.265,91.241
2900.0,36.858,255.555,94.917
3000.0,37.036,256.808,98.612
3100.0,37.206,258.025,102.324
3200.0,37.371,259.209,106.053
3300.0,37.530,260.361,109.798
3400.0,37.685,261.484,113.559
3500.0,37.835,262.578,117.335
3600.0,37.982,263.646,121.126
3700.0,38.125,264.689,124.931 
3800.0,38.265,265.707,128.751
3900.0,38.402,266.703,132.584
4000.0,38.535,267.677,136.431
4100.0,38.666,268.630,140.291
4200.0,38.793,269.563,144.164
4300.0,38.917,270.478,148.050
4400.0,39.038,271.374,151.948 
4500.0,39.155,272.252,155.857
4600.0,39.269,273.114,159.778
4700.0,39.378,273.960,163.711
4800.0,39.482,274.790,167.654
4900.0,39.582,275.605,171.607
5000.0,39.677,276.406,175.570
5100.0,39.766,277.192,179.542
5200.0,39.850,277.965,183.523
5300.0,39.927,278.725,187.512
5400.0,39.999,279.472,191.508
5500.0,40.063,280.207,195.512
5600.0,40.121,280.929,199.521
5700.0,40.172,281.640,203.536
5800.0,40.216,282.339,207.555
5900.0,40.252,283.027,211.578
6000.0,40.280,283.704,215.605
6200.0,40.315,285.025,223.665
6400.0,40.319,286.305,231.729
6600.0,40.292,287.545,239.791
6800.0,40.234,288.748,247.844
7000.0,40.148,289.912,255.882
7200.0,40.033,291.042,263.901
7400.0,39.892,292.137,271.894
7600.0,39.727,293.199,279.856
7800.0,39.538,294.228,287.783
8000.0,39.329,295.227,295.670
8200.0,39.101,296.195,303.513
8400.0,38.857,297.134,311.309
8600.0,38.598,298.046,319.055
8800.0,38.326,298.930,326.748
9000.0,38.044,299.788,334.385
9200.0,37.752,300.621,341.964
9400.0,37.454,301.430,349.485
9600.0,37.150,302.215,356.946
9800.0,36.842,302.978,364.345
10000.0,36.531,303.719,371.682
10500.0,35.749,305.483,389.752
11000.0,34.973,307.128,407.432
11500.0,34.215,308.665,424.728
12000.0,33.483,310.106,441.652
12500.0,32.782,311.459,458.217
13000.0,32.116,312.731,474.440
13500.0,31.487,313.931,490.339
14000.0,30.894,315.066,505.933
14500.0,30.338,316.140,521.239
15000.0,29.817,317.160,536.276
15500.0,29.330,318.129,551.062
16000.0,28.874,319.053,565.612
16500.0,28.449,319.935,579.941
17000.0,28.053,320.779,594.066
17500.0,27.683,321.586,607.998
18000.0,27.337,322.361,621.752
18500.0,27.014,323.106,635.339
19000.0,26.713,323.822,648.770
19500.0,26.431,324.512,662.055
20000.0,26.167,325.178,675.204
